Year,Afghanistan,Africa,Africa (GCP),Albania,Algeria,Andorra,Angola,Anguilla,Antarctica,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Asia (GCP),Asia (excl. China and India),Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Central African Republic,Central America (GCP),Chad,Chile,China,Christmas Island,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,Europe (GCP),Europe (excl. EU-27),Europe (excl. EU-28),European Union (27),European Union (28),Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,High-income countries,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International aviation,International shipping,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kuwaiti Oil Fires (GCP),Kyrgyzstan,Laos,Latvia,Lebanon,Leeward Islands (GCP),Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low-income countries,Lower-middle-income countries,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (country),Middle East (GCP),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Non-OECD (GCP),North America,North America (GCP),North America (excl. USA),North Korea,North Macedonia,Norway,OECD (GCP),Oceania,Oceania (GCP),Oman,Pakistan,Palau,Palestine,Panama,Panama Canal Zone (GCP),Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Ryukyu Islands (GCP),Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South America (GCP),South Korea,South Sudan,Spain,Sri Lanka,St. Kitts-Nevis-Anguilla (GCP),Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper-middle-income countries,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna,World,Yemen,Zambia,Zimbabwe
1907,,12930256.0,12930256.0,,,0.0,,,,,6254448.0,204346.0,,97189900.0,95310270.0,55523630.0,15486985.0,42696590.0,1224920.0,,,,,2581486.0,58323550.0,,,,0.0,,,192486.0,,3451488.0,,0.0,454336.0,,,,,46990800.0,,,0.0,,2180080.0,19893872.0,,,,,,,0.0,209238.0,,,,41500316.0,,5833088.0,,,,,,,,,,935834.0,,,1492824000.0,1492824200.0,565325250.0,91756930.0,927498940.0,1401067300.0,,,886688.0,145596370.0,,,,380093.0,442182530.0,,428688.0,0.0,,,0.0,,,,2721428500.0,,,10204240.0,,21772400.0,5294480.0,,,,,,,22808400.0,,35071810.0,,6148106.0,,,,,,531025.0,,613280.0,,,,,,,959688.0,0.0,44121340.0,,0.0,,,87936.0,,,,,0.0,,2264352.0,,1879632.0,954645.0,,18996.0,,,,,,,,18576480.0,,4085360.0,,,,,169444860.0,1253116700.0,1253116700.0,49255150.0,,110227.0,4781520.0,2718873000.0,19572344.0,19572344.0,,,,,,,0.0,,798752.0,7328.0,87195870.0,3162032.0,,4558016.0,56587816.0,,,,,,,,,,,,559025.0,,0.0,0.0,,13346101.0,159451.0,,,12651792.0,12684768.0,12684768.0,,,14095408.0,,,,,12772704.0,7998512.0,,359072.0,302695.0,,,,,,,1879632.0,774978.0,,0.0,,17972214.0,,473568320.0,1203861500.0,122768210.0,,2407166.0,,,850048.0,,2888318000.0,,,278464.0
1908,,13402912.0,13402912.0,,,0.0,,,,,7617456.0,205600.0,,105978184.0,104256104.0,58334092.0,16792072.0,60030976.0,1232434.0,,,,,2597322.0,57847230.0,,,,0.0,,,207163.0,,3594384.0,,0.0,597232.0,,,,,47408496.0,,,0.0,,2458544.0,22735854.0,,,,,,,0.0,225192.0,,,,42265504.0,,7236400.0,,,,,,,,,,941574.0,,,1517238000.0,1517237900.0,555209300.0,93244810.0,962028740.0,1423993100.0,,,1406976.0,146713890.0,,,,382425.0,446641600.0,,729136.0,0.0,,,0.0,,,,2598784300.0,,,10772160.0,,24908242.0,5492336.0,,,,,,,23262736.0,,37632944.0,,6185821.0,,,,,,534282.0,,617043.0,,,,,,,965575.0,0.0,47585170.0,,0.0,,,91600.0,,,,,0.0,,3770256.0,,1722080.0,960501.0,,20445.0,,,,,,,,18920896.0,,4151311.8,,,,,178768340.0,1103991600.0,1103991700.0,51178750.0,,118631.0,5715840.0,2597672700.0,20943384.0,20943384.0,,,,,,,0.0,,1212784.0,18320.0,93021630.0,3143712.0,,4385808.0,56934950.0,,,,,,,,,,,,601649.0,,0.0,0.0,,13592178.0,171609.0,,,13007200.0,14886832.0,14886833.0,,,14784240.0,,,,,13755428.0,8005840.5,,410368.0,304551.0,,,,,,,1722080.0,779732.0,,0.0,,18082464.0,,461964450.0,1052812860.0,130071520.0,,2421933.0,,3664.0,919664.0,,2776440800.0,,,395712.0
1909,,15385136.0,15385136.0,,,0.0,,,,,5935680.0,217035.0,,109197390.0,107240824.0,60803170.0,14580129.0,43641904.0,1300983.0,,,,,2741788.0,57762960.0,,,,0.0,,,212807.0,,3609040.0,,0.0,604560.0,,,,,45385970.0,,,25648.0,,2352288.0,24251576.0,,,,,,,0.0,231328.0,,,,42007668.0,,8005840.5,,,,,,,,,,993946.0,,,1518849500.0,1518849500.0,563837440.0,97750990.0,955012160.0,1421098600.0,,,1282400.0,150095760.0,,,,403696.0,445571700.0,,560592.0,0.0,,,0.0,,,,2705392000.0,,,11853040.0,,24142650.0,5986976.0,,,,,,,25702960.0,,38255824.0,,6529883.0,,,,,,563999.0,,651363.0,,,,,,,1019281.0,149260.0,48156932.0,,0.0,,,168544.0,,,,,0.0,,3693312.0,,1956575.9,1013924.94,,21002.0,,,,,,,,19917504.0,,4264896.0,,,,,186726180.0,1214811100.0,1214785400.0,49104930.0,149260.0,121864.0,5763472.0,2703768600.0,18845024.0,18845026.0,,,,,,,0.0,,1509568.0,54960.0,95535140.0,3195008.0,,4858464.0,60101736.0,,,,,,,,,,,,618043.0,,0.0,0.0,,13509261.0,176285.0,,,14974768.0,13406576.0,13406576.0,8292.0,,15165296.0,,,,,12669882.0,8068127.5,,487312.0,321491.0,,,,,25648.0,,1956576.0,823102.0,,0.0,,19088230.0,,466086460.0,1165706200.0,136796460.0,,2556643.0,,,1018592.0,,2890495000.0,,,410368.0
1910,,17411328.0,17411328.0,,,0.0,,,,,8907184.0,212846.0,,110769210.0,108885910.0,62272456.0,17707020.0,58785216.0,1275871.0,,,,,2688865.0,61287730.0,,,,0.0,,,210549.0,,4198944.0,,0.0,633872.0,,,,,51622096.0,,,65952.0,,2810288.0,25009438.0,,,,,,,0.0,228874.0,,,,41569624.0,,7349984.0,,,,,,,,,,974760.0,,,1538628400.0,1538628400.0,565769150.0,96037020.0,972859140.0,1442591200.0,,,1062560.0,150612380.0,,,,395903.0,445366530.0,,718144.0,0.0,,,0.0,,,,2844386600.0,,,11677168.0,,23487316.0,6111552.0,,,,,216176.0,,25735936.0,,39384336.0,,6403841.0,,,,,,553113.0,,638790.0,,,,,,,999607.0,187443.0,47389144.0,,0.0,,,234496.0,,,,,0.0,,4154976.0,,1883296.0,994354.0,,20779.0,,,,,,,,20833504.0,,4902432.0,,,,,191031920.0,1327425200.0,1327359100.0,55843024.0,187443.0,120571.0,5939344.0,2843058000.0,22609452.0,22609452.0,,,,,,,0.0,,1330032.0,51296.0,94545860.0,3249968.0,,4818160.0,58941628.0,,,,,,,,,,,,611485.0,,0.0,0.0,,13368391.0,174414.0,,,16978976.0,17246448.0,17246448.0,10413.0,,14894160.0,,,,,13117328.0,7789664.0,,615552.0,315285.0,,,,,65952.0,,1883296.0,807214.0,,0.0,,18719782.0,,469732130.0,1271582100.0,142126670.0,,2507294.0,,,1322704.0,,3034089700.0,,,432352.0
1911,,16865392.0,16865392.0,,,0.0,,,,,9944096.0,220675.0,,117750040.0,115386750.0,68337090.0,19526794.0,49141570.0,1322799.0,,,,,2787764.0,61687104.0,,,,0.0,,,228048.0,,4605648.0,,0.0,897680.0,,,,,60269136.0,,,124576.01,,3107072.0,24630506.0,,,,,,,0.0,247895.0,,,,42096384.0,,7829968.0,,,,,,10992.0,,,,1010612.94,,,1574126000.0,1574125800.0,581419650.0,100068990.0,992706240.0,1474057000.0,,,1315376.0,156907140.0,,,,410465.0,458586240.0,,905008.0,0.0,,,0.0,,,,2879051800.0,,,11995936.0,,24782446.0,6727104.0,,,135568.0,,,,26538352.0,,44209824.0,,6639380.0,,,,,,573457.0,,662286.0,,,,,,,1036373.0,222154.0,49544600.0,,0.0,,,,,,,,0.0,,8401552.0,,2363280.0,1030926.94,,22506.0,,,,,,,,22079264.0,,4609312.0,,,,,198344480.0,1327461900.0,1327337200.0,68795260.0,222154.0,130591.01,6078576.0,2881157400.0,24136106.0,24136106.0,,,,,,,0.0,,1505904.0,36640.0,99602180.0,3143712.0,,5774464.0,61109556.0,,,,,,,,,,,,662306.0,,0.0,0.0,,13537792.0,188910.0,,,16341440.0,19162720.0,19162720.0,12342.0,,14729280.0,,,,,12792751.0,8610400.0,,677840.0,326882.0,,,,,124576.0,,2227712.0,836904.0,,0.0,,19408314.0,,481350700.0,1258666600.0,150683570.0,,2599515.0,,,1157824.0,,3079502000.0,,,512960.03
1912,,17953600.0,17953600.0,,,0.0,,,,,9478768.0,249976.0,,119763160.0,117513464.0,74212560.0,21211162.0,51688050.0,1498438.0,,,,,3157919.0,64775856.0,,,,0.0,,,233693.0,,5591264.0,,0.0,897680.0,,,,,67271040.0,,,197856.0,,3462480.0,17029154.0,,,,,,,0.0,254031.0,,,,44791176.0,,9284576.0,,,,,,84272.0,,,,1144801.0,,,1632516000.0,1632516000.0,568127740.0,112241890.0,1064388200.0,1520274000.0,,,1483920.0,158577920.0,,,,464966.0,499121060.0,,,0.0,,,0.0,,,,3025621000.0,,,12303712.0,,28521446.0,5840416.0,,,252815.98,,,,27850064.0,,49280800.0,,7520948.0,,,,,,649600.0,,750223.0,,,,,,,1173982.0,277693.0,56471870.0,,0.0,,,18320.0,,,,,0.0,,8632384.0,,2249696.0,1167812.0,,23063.0,,,,,,,,24922528.0,,4862128.0,,,,,208842290.0,1419666800.0,1419468900.0,76101280.0,277693.0,133824.0,6877328.0,3027121200.0,26073290.0,26073292.0,,,,,,,0.0,,1458272.0,3664.0,110934930.0,3653008.0,,6012624.0,69223600.0,,,,,,,,,,,,678699.0,,0.0,0.0,,14404410.0,193586.0,,,17349040.0,19990784.0,19990784.0,15427.0,,15982368.0,,,,,14187705.0,8760624.0,,740128.0,370285.0,,,,,197856.0,,1996880.0,948027.0,,0.0,,21985322.0,,455885860.0,1343565600.0,153593140.0,,2944675.0,,,1139504.0,,3235963600.0,,,520288.0
1913,,19606064.0,19606064.0,,,0.0,,,,,10145616.0,271553.0,,137350700.0,134459800.0,81632370.0,22801300.0,60983616.0,1627780.0,,,,,3430504.0,68014830.0,,,,0.0,,,641809.0,,6034608.0,,0.0,787760.0,,,,,79281630.0,,,223504.0,,3356224.0,24251576.0,,,,,,,0.0,697666.0,,,,46851080.0,,9526400.0,,,,,,40304.0,,,,1243617.0,,,1767390800.0,1767390800.0,621209200.0,122886890.0,1146181600.0,1644503900.0,,,1663456.0,171112460.0,,,,505101.03,535083260.0,,1337360.0,0.0,,,0.0,,,,3267490600.0,,,13025520.0,,31466760.0,5899040.0,,,853712.0,,223504.0,,29964192.0,,54315136.0,,8170141.0,,,,,,705672.0,,814981.0,,,,,,,1275317.0,322818.0,62492516.0,,0.0,,,62288.0,,,,,0.0,,11743120.0,,2890896.0,1268615.0,,63340.0,,,,,,,,27549616.0,,4213600.0,,,,,235861060.0,1533790300.0,1533566800.0,91248260.0,322818.0,367530.0,6917632.0,3270414800.0,27014900.0,27014900.0,,,,,,,0.0,,1571856.0,7328.0,116207420.0,3858192.0,,6990912.0,75198840.0,,,,,,,,,,,,1863964.0,,0.0,0.0,,15066856.0,531659.0,,,18983184.0,21122960.0,21122960.0,17934.0,,17418656.0,,,,,15953268.0,9251600.0,,853712.0,402247.0,,,,,223504.0,,2037184.0,1029858.0,,0.0,,23883050.0,,498322340.0,1442542100.0,175969920.0,,3198853.0,,14656.0,1352016.0,,3506275800.0,,,582576.0
1914,,19551104.0,19551104.0,,,0.0,,,,,8672688.0,245083.0,,142861780.0,140025840.0,84445220.0,24922456.0,49654530.0,1469109.0,,,,,3096108.0,40575136.0,,,,0.0,,,,,4107344.2,,0.0,1183472.0,,,,,68381230.0,,,289456.0,,2843264.0,26718416.0,,,,,,,0.0,,,,,42711860.0,,9764560.0,,,,,,307776.0,,,,1122393.0,,,1573950200.0,1573950200.0,592983700.0,109800960.0,980966600.0,1464149200.0,,,688832.0,118350860.0,,,,455865.0,497926600.0,,10992.0,0.0,,,0.0,,,,2957561900.0,,,11592896.0,,31698144.0,6016288.0,,,1172480.0,,249152.0,,27238176.0,,58015776.0,,7373736.0,,,,,,636885.0,,735538.0,,,,,,,1151003.0,461664.0,61126530.0,,0.0,,,146560.0,,,,,0.0,,10141952.0,,2835936.0,1144954.0,,,,,,,,,,25823872.0,,5081968.0,,,,,219869500.0,1396793000.0,1396503400.0,78812640.0,461664.0,,7709056.0,2960486100.0,30004424.0,30004424.0,,,,,,,0.0,,1542544.0,18320.0,97004400.0,3374544.0,,5785456.0,67868650.0,,,,,,,,,,,,,,0.0,0.0,,13735723.0,,,,18400608.0,17195152.0,17195152.0,25648.0,,17301408.0,,,,,14985189.0,8427200.0,,919664.0,363037.0,,,,,289456.0,,1663456.0,929470.0,,0.0,,21554992.0,,483182700.0,1317980300.0,161205620.0,,2887037.0,,29312.0,1645136.0,,3180355600.0,,,842720.0
1915,,19606064.0,19606064.0,,,0.0,,,,,6939616.0,224953.0,,136647150.0,134206930.0,78084850.0,22269420.0,35342944.0,1348444.0,,,,,2841811.0,34419616.0,,,,0.0,,,,,3143712.0,,0.0,762112.0,,,,,61115520.0,,,333424.0,,3066768.0,25420578.0,,,,,,,0.0,,,,,42617600.0,,10453392.0,,,,,,91600.0,,,,1030205.94,,,1492850200.0,1492850000.0,592827400.0,103346296.0,900022800.0,1389503900.0,,,106256.0,103233200.0,,,,418423.0,462906100.0,,21984.0,0.0,,,0.0,,,,2919419400.0,,,11765104.0,,33141720.0,6030944.0,,,1403312.0,,227168.0,,23779360.0,,52842210.0,,6768099.0,,,,,,584575.0,,675125.0,,,,,,,1056466.0,576212.0,60755244.0,,0.0,,,205184.0,,,,,0.0,,14315248.0,,2440224.0,1050914.0,,,,,,,,,,24534144.0,,4931744.0,,,18320.0,,208306660.0,1443461200.0,1443127800.0,75764190.0,576212.0,,8449184.0,2926547200.0,27201164.0,27201164.0,,,,,,,0.0,,1886960.0,54960.0,94743710.0,3085088.0,,5144256.0,62294296.0,,,,,,,,,,,,,,0.0,0.0,,13705409.0,,,,18510528.0,15088352.0,15088352.0,32012.0,,15311856.0,,,,,15101660.0,8925504.0,,1014928.0,333219.0,,,,,333424.0,,1036911.94,853129.0,,0.0,,19784586.0,,489481100.0,1367697000.0,154103170.0,,2649912.0,,51296.0,1707424.0,,3134854000.0,,,985616.0
1916,,23255408.0,23255408.0,,3664.0,0.0,,,,,4986704.0,239761.0,,149888400.0,147367570.0,86240210.0,19853626.0,9086720.0,1437209.0,,,,,3028881.0,45792670.0,,,,0.0,,,,,2879904.0,,0.0,923328.0,,,,,76456690.0,,,414032.0,,3707968.0,30130690.0,,,,,,,0.0,,,,,45359520.0,,10215232.0,,,,,,179536.0,,,,1098022.0,,,1561168400.0,1561168400.0,615080960.0,108009016.0,946087360.0,1453159300.0,,,179536.0,109689170.0,,,,445967.0,500696600.0,,65952.0,0.0,,,0.0,,,,3153075200.0,,,11834720.0,,33517506.0,6763744.0,,,2007872.1,,241824.0,,23511888.0,,58598350.0,,7213628.0,,,,,,623056.0,,719567.0,,,,,,,1126011.0,479020.0,63727156.0,,0.0,,,549600.0,,,,,0.0,,17184160.0,,2520832.0,1120093.0,,,,,,,,,,22398032.0,,5038000.0,,,65952.0,,221728020.0,1613035600.0,1612621600.0,94054880.0,479020.0,,7895920.0,3164130300.0,24891626.0,24891624.0,,,,,,,0.0,,1963904.0,51296.0,108776830.0,2989824.0,,2997152.0,66394996.0,,,,,,,,,,,,,,0.0,0.0,,14587184.0,,,,21811792.0,13619088.0,13619088.0,26612.0,,17865664.0,,,,,15931912.0,8482160.0,,1384992.0,355154.0,,,,,414032.0,10992.0,512960.03,909289.0,,0.0,,21086962.0,,507071970.0,1518980700.0,168577220.0,,2824350.0,,80608.0,1817344.0,,3385858300.0,,,1183472.0
1917,,25343888.0,25343888.0,,7328.0,0.0,,,,,2231376.0,220658.0,,161983650.0,158792300.0,94940430.0,21334476.0,3451488.0,1322702.0,,,,,2787559.0,36247950.0,,,,0.0,,,,,2498848.0,,0.0,1139504.0,,,,,85242960.0,,,527616.0,,4026735.8,32023448.0,,,,,,,0.0,,,,,42653640.0,,7434256.0,,,,,25648.0,421360.0,,,,1010539.06,,,1533407700.0,1533407900.0,595103000.0,93933720.0,938304830.0,1439474000.0,,,120912.0,121604500.0,,,,410435.0,524578560.0,,91600.0,0.0,,,0.0,,,,3303939600.0,,,11717472.0,,35019770.0,7137472.0,,,2799296.0,,256480.02,,16121599.0,,67483550.0,,6638893.0,,,,,,573415.0,,662237.0,,,,,,,1036296.94,0.0,64477490.0,,0.0,,,652192.0,,,,,0.0,,26131648.0,,3191344.0,1030851.94,,,,,,,,,,8654368.0,,4616640.0,,,223504.0,,216502180.0,1782872800.0,1782345200.0,111902220.0,,,3495456.0,3323924500.0,25951116.0,25951116.0,,,,,,,0.0,,2004208.1,10992.0,120882690.0,1656128.0,,2513504.0,61105076.0,,,,,,,,,,,,,,0.0,0.0,,13717000.0,,,,23339680.0,10867424.0,10867424.0,,,15850464.0,,,,,6903629.0,6107888.0,,1799024.0,326858.0,,,,,527616.0,29312.0,392048.0,836842.0,,0.0,,19406890.0,,501169250.0,1670970600.0,172009700.0,,2599324.0,,80608.0,1736736.0,,3540426800.0,,,1322704.0
1918,,24724672.0,24724672.0,,18320.0,0.0,,,,,2520832.0,88000.0,,166873390.0,162967550.0,92766110.0,23364628.0,3337904.0,527500.0,,,,,1111693.0,33723456.0,,,,0.0,,,,,2322976.0,,0.0,1421632.0,,,,,89518850.0,,,769440.0,,3968112.0,34747964.0,,,,,,,0.0,,,,,36365800.0,,8676352.0,,,,,25648.0,864704.0,,,,403008.0,,,1394110300.0,1394110300.0,510676860.0,43828300.0,883433500.0,1350282000.0,,,73280.0,108450740.0,,,,163684.0,503422600.0,,124576.0,0.0,,,0.0,,,,3302653000.0,,,10651248.0,,39359310.0,7130144.0,,,3447824.0,,245488.0,,18979520.0,,71543260.0,,2647625.0,,,,,,228681.0,,264104.0,,,,,,,413281.0,472077.0,56163290.0,,0.0,,,670512.0,,,,,0.0,,30642032.0,,3905824.0,411109.0,,,,,,,,,,14527760.0,,4543360.0,,,399376.0,,166289310.0,1868648400.0,1867879000.0,120930320.0,472077.0,,4451760.0,3326974700.0,27907988.0,27907986.0,,,,,,,0.0,,1945584.0,29312.0,101525780.0,1095536.0,,3187680.0,24369018.0,,,,,,,,,,,,,,0.0,0.0,,11694890.0,,,,22222160.0,10999328.0,10999328.0,26227.0,,16733488.0,,,,,8115357.5,5745152.0,,2143440.0,130353.0,,,,,769440.0,40304.0,458000.0,333737.0,,0.0,,7739568.0,,466848580.0,1747718100.0,133976024.0,,1036623.94,,216176.0,1689104.0,,3493264100.0,,,1179808.0
1919,,25442816.0,25442816.0,,18320.0,0.0,,,,,3726288.0,75165.0,,183556770.0,178298910.0,102584710.0,22185334.0,3015472.0,450564.0,,,,,949552.0,44869344.0,,,,0.0,,,460048.0,,3070432.0,,0.0,835392.0,,,,,76090290.0,,,648528.0,,3883840.0,37997296.0,,,,,,,0.0,500086.0,,,,34355796.0,,8236672.5,,,,,25648.0,688832.0,,,,344229.0,,,1183809300.0,1183809300.0,496859040.0,40727680.0,686950300.0,1143081600.0,,,238160.0,116141470.0,,,,139810.0,387427700.0,,106256.0,0.0,,,0.0,,,,2820372700.0,,,4755872.0,,42974760.0,7635776.0,,,4319856.0,,249152.0,,18609456.0,,79193700.0,,2261467.0,,,,,,195328.0,,225584.0,,,,,,,353004.0,558856.0,59226790.0,,0.0,,,769440.0,,,,,0.0,,41084430.0,,5257840.0,351148.0,,45402.0,,,,,,,,21980336.0,,4129327.8,,,370064.0,,175912030.0,1596982000.0,1596333600.0,117823250.0,558856.0,263445.0,5290816.0,2853094400.0,26314662.0,26314662.0,,,,,,,0.0,,1982224.0,58624.0,2729680.0,2158096.0,,4664272.0,20814784.0,,,,,,,,,,,,1336087.0,,0.0,0.0,,11048493.0,381093.0,,,23138160.0,12900944.0,12900944.0,31048.0,,15927408.0,,,,,7797207.0,4605648.0,,2909216.0,111341.0,,,,,648528.0,,937984.0,285061.0,,0.0,,6610748.0,,456131360.0,1479158800.0,148848110.0,,885432.0,,212512.0,1766048.0,,3029006600.0,,,1227440.0
1920,,28051584.0,28051584.0,,21984.0,0.0,,,,,5891712.0,68541.0,,175426770.0,168586080.0,100280340.0,26306108.0,14527760.0,410860.0,,,,,865876.0,55154190.0,,,,0.0,,,610763.0,,3645680.0,,0.0,1099200.0,,,,,84378260.0,,,868368.0,,2780976.0,40278456.0,,,,,,,0.0,663918.0,,,,34073010.0,3664.0,7192432.0,,,,,25648.0,454336.0,,,,313895.0,,,1373714700.0,1373714700.0,512274700.0,41523970.0,861439940.0,1332190700.0,,,274800.0,151777540.0,,,,127490.0,429208300.0,,677840.0,0.0,,,0.0,,,,3277128700.0,,,5587600.0,,34867976.0,8262319.5,,,5437376.0,,293120.0,,17869328.0,,74280270.0,,2062184.1,,,,,,178115.0,,205705.0,,,,,,,321896.0,729136.0,51762440.0,,0.0,,,1110192.0,,,,,0.0,,76236850.0,,6840688.0,320205.0,,60276.0,,,,,,,,22170864.0,,3557744.0,,,487312.0,,177248370.0,1899729300.0,1898860800.0,161483470.0,725472.0,349752.0,5301808.0,3344179200.0,29863852.0,29863852.0,,,,,,,0.0,,2147104.0,102592.0,76379740.0,2103136.0,,5485008.0,18980556.0,,,,,,,,,,,,1773799.0,,0.0,0.0,,10957551.0,505940.97,,,25666320.0,14641344.0,14641344.0,40304.0,,14055104.0,,,,,10542065.0,7232736.0,,3044784.0,101529.0,,,,,868368.0,29312.0,1403312.0,259941.02,,0.0,,6028199.0,,470750720.0,1738245800.0,191807260.0,,807406.0,,150224.0,1857648.0,,3521427500.0,,,1388656.0
1921,,27985632.0,27985632.0,,25648.0,0.0,,,,,5539968.0,74332.0,,171794930.0,163697490.0,95526670.0,23785314.0,19338592.0,445571.0,,,,,939029.0,50533890.0,,,,0.0,,,650276.0,,2890896.0,,0.0,1366672.0,,,,,80483420.0,,,1000272.0,,3334240.0,38762732.0,,29312.0,,,,,0.0,706870.0,,,,32722840.0,7328.0,6793056.0,,,,,25648.0,560592.0,,,,340414.0,,,1253162200.0,1253162200.0,359029120.0,39224220.0,894133200.0,1213938000.0,,,282128.0,137909300.0,,,,138261.0,473179970.0,,743792.0,0.0,,,0.0,,,,2825791500.0,,,9236944.0,,37505520.0,8756960.0,,,7254720.0,,238160.0,,21881408.0,,66809380.0,,2236405.0,,,,,,193163.0,,223084.0,,,,,,,349091.0,788339.0,57554916.0,,0.0,,,1414304.0,,,,,0.0,,90288290.0,,8097440.0,347257.0,,64175.004,,,,,,,,23233424.0,,3499120.0,,,571584.0,,184126270.0,1595440600.0,1594440300.0,171771980.0,781011.0,372379.0,3374544.0,2905970400.0,27284434.0,27284434.0,,,,,,,0.0,,2447552.0,69616.0,74947120.0,2147104.0,,5917360.0,20584106.0,,,,,,,,,,,,1888555.0,,0.0,0.0,,10523351.0,538673.0,,,25413504.0,14428832.0,14428832.0,43389.0,,14846528.0,,,,,6133385.0,4466416.0,,2755328.0,110107.0,,,,,1000272.06,21984.0,842720.0,281902.0,,0.0,,6537484.0,,319804900.0,1423668600.0,205962020.0,,875619.0,,161216.0,2443888.0,,3090096600.0,,,1384992.0
1922,,23969888.0,23969888.0,,25648.0,0.0,,,,,7298688.0,90652.0,,181275740.0,171038530.0,104400850.0,24921644.0,18587472.0,543401.0,,,,,1145204.0,55908976.0,,,,0.0,,,944932.0,,3781248.0,,0.0,1509568.0,,,,,69209300.0,,,981952.0,,2755328.0,39971524.0,,142896.0,,,,,0.0,1027169.94,,,,29204644.0,80608.0,9650976.0,,,,,25648.0,531280.0,,,,415156.0,,,1397922800.0,1397922700.0,479824960.0,51602264.0,918097800.0,1346320500.0,,,710816.0,163150600.0,,,,168618.0,455460830.0,,677840.0,0.0,,,0.0,,,,2969678800.0,,,11010320.0,,36903370.0,8298959.5,,,9225952.0,,,,25699296.0,,71429680.0,,2727436.0,,,,,,235574.0,,272065.0,,,,,,,425739.0,878974.0,60347090.0,,0.0,,,2004208.1,,,,,0.0,,85550740.0,,10237216.0,423502.0,,93255.0,,,,,,,,27271152.0,,3561408.0,,,304112.0,,197493600.0,1591500300.0,1590518400.0,155741980.0,798366.0,541113.0,6481616.0,3042820400.0,28483052.0,28483052.0,,,,,,,0.0,,2953184.0,76944.0,71770430.0,2960512.0,,7141136.0,25103606.0,,,,,,,,,,,,2744306.0,,0.0,0.0,,9391932.0,782760.0,,,21786144.0,17162176.0,17162176.0,44354.0,,14941792.0,,,,,10126600.0,6151856.0,,3572400.0,134282.0,,,,,981952.0,,1011263.94,343797.0,,0.0,,7972872.0,,428222700.0,1435758300.0,209409070.0,,1067872.0,,205184.0,2627088.0,,3240313900.0,,,1242096.0
